ticker,business_ko
DAL,미국 대형 항공사 (여객·화물)
CSCO,네트워크 장비·보안·협업 소프트웨어
CF,암모니아·질소비료 생산
FLEX,전자제품 위탁생산(EMS) 및 데이터센터 전력 장비
REGN,안과·면역질환 항체의약품 바이오제약
STT,기관투자자 수탁·자산관리 및 운용
ABNB,숙박 공유·체험 예약 플랫폼
LUV,미국 저비용 항공사
HAS,완구·보드게임 및 디지털 게임(Wizards of the Coast)
UAL,미국 대형 항공사 (국제선 중심)
DTE,미시간주 전력·가스 유틸리티
HUBB,전력망·건축용 전기 설비 부품
KLAC,반도체 공정 검사·계측 장비
FERG,배관·HVAC 자재 유통
RTX,항공엔진(프랫앤휘트니)·방산 미사일·항공전자
MA,글로벌 카드 결제 네트워크
EXPE,온라인 여행 예약 플랫폼
DRI,올리브가든 등 캐주얼 다이닝 레스토랑 체인
MSI,공공안전 무선통신·영상보안 솔루션
KKR,사모펀드·인프라·신용 대체자산 운용 및 보험
ALLE,도어록·출입통제 보안제품
VRTX,낭포성섬유증 등 희귀질환 치료제 바이오제약
NEE,플로리다 전력 유틸리티 및 풍력·태양광 발전
URI,건설·산업용 장비 렌탈
UNP,미국 서부 화물 철도
GRMN,GPS 기반 웨어러블·항공·해양·차량용 기기
NSC,미국 동부 화물 철도
PLD,물류창고 개발·임대 리츠
CTVA,종자 및 작물보호제(농약)
HII,미 해군 군함·항공모함·잠수함 건조
GNRC,가정·상업용 비상발전기 및 에너지 저장
TT,상업·주거용 냉난방공조(HVAC) 및 운송 냉장
LMT,전투기(F-35)·미사일·우주 방산
ODFL,미국 소량화물(LTL) 트럭 운송
PM,궐련 및 전자담배(아이코스)·니코틴 파우치
NDSN,정밀 접착제·코팅 도포 장비
GILD,HIV·간질환·항암 치료제 바이오제약
ABBV,면역질환(스카이리치·린버크)·신경과학 치료제 제약
CSX,미국 동부 화물 철도
CDW,기업·공공기관 대상 IT 하드웨어·소프트웨어 유통 및 솔루션
AMGN,항암·골다공증·심혈관 바이오의약품
LYV,공연 기획·프로모션 및 티켓 판매(티켓마스터)
CMI,디젤·천연가스 엔진 및 발전기·동력 부품
ES,뉴잉글랜드 지역 전력·가스·수도 유틸리티
CMG,멕시칸 패스트캐주얼 레스토랑 체인
IR,산업용 압축기·펌프·진공 장비
AZO,자동차 부품 소매·유통
LOW,주택개량 자재·용품 소매
BKNG,온라인 숙박·여행 예약 (Booking.com·Priceline)
ROL,해충방제 서비스 (Orkin)
SHW,페인트·코팅 제조 및 직영 매장 판매
BR,투자자 커뮤니케이션 및 증권사 백오피스 기술
ADM,곡물 조달·가공 및 식품·사료 원료
PPG,페인트·코팅 및 특수소재
PNW,애리조나주 전력 유틸리티
HLT,호텔 프랜차이즈·위탁운영 (힐튼)
PEP,음료(펩시) 및 스낵(프리토레이) 식품
PFG,퇴직연금·자산운용·보험
GEN,개인용 사이버보안(노턴·어베스트) 소프트웨어
AWK,미국 최대 상하수도 유틸리티
BMY,항암·면역·심혈관 전문의약품
HD,주택개량 자재·용품 소매
CRH,골재·시멘트·아스팔트 등 건설자재
NOC,스텔스 폭격기·우주·미사일 방산
LNT,아이오와·위스콘신 전력·가스 유틸리티
NCLH,크루즈 여행 선사
TRGP,천연가스·NGL 수집·처리·수송 미드스트림
CARR,냉난방공조(HVAC)·냉장 설비
AEE,미주리·일리노이 전력·가스 유틸리티
BIIB,다발성경화증·알츠하이머 등 신경질환 치료제
LII,주거·상업용 냉난방공조(HVAC) 설비
VMC,골재 등 건설자재 (미국 최대 골재 생산)
TSCO,농촌 생활용품·반려동물·가축용품 소매
SOLV,의료용품·치과·정수 필터 헬스케어 (3M에서 분사)
CPRT,사고·중고차량 온라인 경매
GM,자동차 제조 (쉐보레·GMC·캐딜락) 및 자동차 금융
MO,미국 궐련(말보로)·무연 니코틴 제품
PCAR,대형 상용트럭 제조 (켄워스·피터빌트·DAF)
DHI,미국 최대 주택건설업체
IT,IT·경영 리서치 및 자문
AOS,가정·상업용 온수기·보일러·정수기
CLX,표백제·세제·생활용품 브랜드
CRL,신약 비임상시험 및 연구용 동물모델 서비스
STZ,수입 맥주(코로나·모델로)·와인·증류주
F,자동차 제조 (포드·링컨) 및 상용차·자동차 금융
LEN,미국 주택건설업체
FCX,구리·금·몰리브덴 광산
PHM,미국 주택건설업체
NVR,미국 주택건설업체 및 모기지 금융
CHDN,경마장·온라인 경마베팅 및 지역 카지노 운영
NXST,미국 지역 TV 방송국 및 뉴스·엔터테인먼트 미디어
KMX,중고차 소매 및 자동차 할부금융
CROX,크록스·헤이두드 캐주얼 신발 브랜드
VICR,데이터센터·산업용 모듈형 전원 부품
KTOS,군용 무인기·위성통신·미사일 등 방산 기술
ACI,미국 슈퍼마켓·약국 체인 (앨버트슨스·세이프웨이)
ITT,펌프·밸브·브레이크 패드 등 산업용 핵심 부품
KRMN,미사일·우주발사체용 핵심 시스템·부품 방산
OVV,북미 원유·천연가스 탐사·생산
MTSI,통신·데이터센터용 아날로그·RF·광 반도체
LSCC,저전력 FPGA 반도체
AVT,전자부품 유통
RYAN,전문 보험 도매중개·인수대리
BC,보트·선외기 엔진 등 레저 해양제품
WTS,배관용 밸브·수처리·난방 제품
HHH,대규모 계획도시(MPC) 부동산 개발
BMNR,이더리움 보유(트레저리) 및 비트코인 채굴
NLY,주택담보대출 채권 투자 모기지 리츠
CG,사모펀드·신용 대체자산 운용 (칼라일)
LLYVK,라이브 공연(라이브네이션 지분) 투자 지주회사
ASTS,스마트폰 직접 연결 위성통신망 개발
VIK,리버·오션 크루즈 여행 (바이킹)
APLD,AI·HPC용 데이터센터 개발·운영
AUR,자율주행 트럭 기술 (Aurora Driver)
TPG,사모펀드·임팩트 투자 대체자산 운용
QXO,지붕재·건축자재 유통
FRVO,차세대 지열 발전소 개발·운영
MKL,특수보험 및 사업 지주회사 (마켈 벤처스)
ALM,텅스텐 광산 개발·생산
SPCX,스타링크 위성 인터넷 및 로켓 발사 서비스 (SpaceX)
WTM,손해보험·재보험 지주회사
SITE,조경 자재 도매 유통
POOL,수영장 용품·장비 도매 유통
CORT,쿠싱증후군 등 내분비·항암 치료제
QNT,양자컴퓨터 하드웨어·소프트웨어
CSL,상업용 지붕재·단열재 등 건물 외피 자재
WMS,플라스틱 배수관 등 우수·배수 관리 제품
RYN,산림 토지 보유 리츠 (목재 판매)
HLNE,사모시장 투자 자문·펀드오브펀드 운용
STRL,데이터센터 부지 조성·교통 인프라 시공
MUSA,대형마트 인근 주유소·편의점 체인
MWH,태양광·ESS·송전 설비 EPC 시공
INIO,가스엔진 발전설비 (옌바허·와우케샤)
INSM,희귀 호흡기 질환 치료제 바이오제약
RPM,건축용 코팅·실란트·특수화학 (Rust-Oleum 등)
SITM,MEMS 기반 타이밍(발진기) 반도체
FIGR,블록체인 기반 주택담보대출·금융 플랫폼
ASND,성장호르몬 등 TransCon 기술 기반 치료제
WSO,냉난방공조(HVAC) 장비·부품 유통
CWEN,풍력·태양광·가스 발전소 보유 운영
EXP,시멘트·석고보드 등 건설자재
RLI,특수 손해보험
FRHC,카자흐스탄 기반 증권중개·은행·보험 금융그룹
ZION,미국 서부 지역은행
PR,퍼미안 분지 원유·가스 탐사·생산
UHAL-B,이사용 트럭·트레일러 대여 및 셀프 스토리지 (U-Haul)
TAP,맥주 제조·판매 (쿠어스·밀러)
VNOM,원유·가스 광구 로열티·광업권 보유
WULF,비트코인 채굴 및 AI·HPC 데이터센터
FWONK,포뮬러원(F1) 모터스포츠 운영
THO,레저용 캠핑카(RV) 제조
MAT,바비·핫휠 등 완구 브랜드
CHRD,윌리스턴 분지 원유·가스 탐사·생산
CHH,호텔 프랜차이즈 (컴포트·퀄리티 인)
BMRN,희귀 유전질환 효소 치료제 바이오제약
HALO,약물 피하주사 전환 기술(ENHANZE) 로열티
IESC,데이터센터·주거용 전기설비 시공 및 인프라 제품
ALAB,AI 서버용 연결(PCIe·CXL) 반도체
YETI,아웃도어 보냉·드링크웨어 브랜드
AAOI,데이터센터용 광트랜시버
FNF,부동산 권원보험 및 연금보험(F&G)
CDE,금·은 광산
RNR,재보험·특수보험
AAON,상업용 냉난방공조(HVAC) 장비 (데이터센터 냉각 포함)
OSK,고소작업대·특수차량·군용트럭 제조
XE,소형모듈원자로(SMR) 및 핵연료 개발
CNH,농기계·건설장비 제조 (케이스·뉴홀랜드)
BBIO,유전질환 치료제 바이오제약
SN,샤크 청소기·닌자 주방가전
HAYW,수영장 펌프·필터·자동화 장비
MTDR,델라웨어 분지 원유·가스 탐사·생산 및 미드스트림
AA,보크사이트·알루미나·알루미늄 생산
CRWV,AI용 GPU 클라우드 인프라
IONQ,이온트랩 양자컴퓨터 및 양자 네트워크
WLK,PVC·폴리에틸렌 등 화학소재 및 건축자재
PL,지구관측 소형위성 영상 데이터
ALK,알래스카·하와이안 항공 운영
LSTR,자산경량형 트럭 운송 중개
CAI,AI 기반 암 분자 프로파일링 진단
FPS,데이터센터·전력망용 배전 장비
BEPC,수력·풍력·태양광 재생에너지 발전
SEB,양돈·곡물·해운 등 복합기업
TREX,합성목재 데크·난간
OC,단열재·지붕재·문 등 건축자재
CAR,렌터카 (에이비스·버젯)
AAL,미국 대형 항공사
W,온라인 가구·인테리어 쇼핑몰
RIVN,전기 픽업트럭·SUV·상용 밴 제조
CR,항공우주·산업용 밸브·펌프 등 엔지니어링 부품
SPXC,HVAC 냉각탑·보일러 및 탐지·계측 장비
MLI,구리·황동 배관·파이프 제조
MP,희토류 채굴·정제 및 영구자석 생산
UI,기업·가정용 네트워크 장비 (UniFi)
CLH,유해폐기물 처리 및 산업 환경 서비스
ECG,전기·기계·교통 인프라 시공
TTMI,인쇄회로기판(PCB) 및 방산 RF 부품
SAIA,소량화물(LTL) 트럭 운송
BROS,드라이브스루 커피 체인
GFL,북미 고형폐기물 수거·처리
NVT,전기 연결·보호 장비 및 데이터센터 액체냉각
CE,엔지니어링 플라스틱·아세틸 화학제품
NBIX,신경·정신질환 치료제 (인그레자)
AMG,부티크 운용사 지분투자 자산운용
ONTO,반도체 검사·계측 및 리소그래피 장비
KNSL,초과·잉여(E&S) 특수 손해보험
BLDR,주택건설용 목재·건축자재 공급
SMTC,아날로그·혼성신호 반도체 및 IoT 통신
PINS,이미지 기반 검색·발견 SNS (핀터레스트)
TOST,레스토랑용 POS·결제 클라우드 플랫폼
MDGL,MASH(지방간염) 치료제 바이오제약
RKLB,소형 로켓 발사 및 위성·우주 시스템
LAMR,옥외광고(빌보드) 리츠
IDA,아이다호 전력 유틸리티
ESI,전자·반도체 공정용 특수화학
BIRK,버켄스탁 샌들·신발 브랜드
MKSI,반도체 장비용 전력·진공·레이저 부품 및 특수화학
SOLS,냉매·반도체 소재 등 특수화학 (하니웰 분사)
LPX,OSB 합판·사이딩 건축자재
FOUR,통합 결제 처리 및 POS 소프트웨어
CACI,미 정부·국방 IT·정보 서비스
FAF,부동산 권원보험 및 주택보증
AWI,천장재·벽체 마감재
RMBS,메모리 인터페이스 칩 및 반도체 IP
RS,금속 가공·유통 서비스센터
SHC,의료기기 멸균 및 실험 검사 서비스
FTAI,항공기 엔진 정비·임대 및 부품
WH,호텔 프랜차이즈 (윈덤·라마다)
MTZ,전력망·통신·파이프라인 인프라 시공
AXSM,중추신경계(CNS) 질환 치료제
FORM,반도체 테스트용 프로브카드
SSD,목조건축용 철물·구조용 커넥터
FBIN,주방 수전·문·보안 제품 (모엔·마스터락)
MSM,금속가공 공구·MRO 산업재 유통
SNX,IT 하드웨어·소프트웨어 유통
APG,화재·생명안전·보안 설비 서비스
AYI,조명·조명제어·빌딩관리 시스템
DPC,항공엔진용 정밀주조 부품·초합금
KNX,미국 최대 트럭 운송
LW,냉동 감자튀김 제조
SUNB,건설·산업용 장비 렌탈 (선벨트)
JAZZ,수면장애·항암 치료제
AMKR,반도체 후공정(패키징·테스트) 외주
CCK,음료용 금속 캔 포장재
OLLI,재고·이월상품 할인 소매점
SON,산업용·소비자 포장재
LFUS,퓨즈·전력 반도체 등 회로보호 부품
JMKE,샌드위치 프랜차이즈 (저지 마이크스)
XPO,소량화물(LTL) 트럭 운송
CNM,상하수도·소방 배관 자재 유통
AFRM,선구매후결제(BNPL) 결제 플랫폼
MDB,NoSQL 데이터베이스 플랫폼 (MongoDB Atlas)
SNDR,트럭·복합운송 물류
WEX,차량 연료카드·기업 결제 플랫폼
LYFT,차량 호출(라이드셰어) 플랫폼
WSC,모듈러 임시 사무공간·컨테이너 임대
NEU,윤활유·연료 첨가제
AGCO,트랙터 등 농기계 제조 (펜트·매시퍼거슨)
ALSN,상용차·군용차 자동변속기
QSR,버거킹·팀홀튼·파파이스 외식 프랜차이즈
SNOW,클라우드 데이터 플랫폼
MTN,스키 리조트 운영 (베일)
DAR,동물성 부산물 재활용 원료 및 재생디젤
COKE,코카콜라 음료 보틀링·유통
GH,혈액 기반 암 진단(액체생검)
DCI,산업용·엔진용 필터
FIG,협업형 디자인 소프트웨어 (피그마)
FTI,해저 유전 생산설비·엔지니어링
SOFI,온라인 은행·대출·투자 핀테크
PFGC,외식업체 대상 식자재 유통
GTES,동력전달 벨트·유압 호스
TNL,타임셰어 휴양 소유권 및 여행 멤버십
ALNY,RNAi 기반 유전질환 치료제
JBS,소·돼지·닭고기 육류 가공 (세계 최대)
PRMB,생수 브랜드 및 정수 서비스
RBRK,데이터 보안·백업 소프트웨어
GWRE,손해보험사용 핵심업무 소프트웨어
EMN,특수소재·첨가제·섬유 화학
BHF,연금·생명보험
SAIL,기업 ID 보안(접근관리) 소프트웨어
DINO,석유 정제 및 윤활유·재생연료
OLN,염소·가성소다·에폭시 화학 및 탄약(윈체스터)
DOCN,개발자·중소기업용 클라우드 및 AI 추론 플랫폼
LECO,용접·절단 장비 및 소모품
CHE,호스피스 간병 및 배관 서비스(로토루터)
AMCR,식품·음료·의약품용 플라스틱·유연 포장재 (Berry Global 인수)
PNR,수영장 장비·정수·유체 처리 제품
IDXX,동물병원용 진단기기·검사 및 수질검사
EXE,미국 최대 천연가스 생산 (구 체서피크·사우스웨스턴)
EQT,애팔래치아 천연가스 생산 및 미드스트림
MRNA,mRNA 백신·치료제 (코로나·RSV)
FSLR,박막 태양광 모듈 제조
DELL,PC·서버(AI 서버)·스토리지
CINF,손해·생명보험
SMCI,AI·데이터센터용 서버·스토리지 시스템
COF,신용카드·소비자금융 은행 (디스커버 인수)
AFL,미국·일본 암·보충 건강보험
EIX,남부 캘리포니아 전력 유틸리티
ETR,미국 남부 전력 유틸리티·원자력 발전
IBM,하이브리드 클라우드·AI 소프트웨어 및 IT 컨설팅·메인프레임
BA,상업용 항공기·방산·우주
JBL,전자제품 위탁생산(EMS) 및 데이터센터 인프라
MCD,글로벌 패스트푸드 프랜차이즈
MOS,인산·칼륨 비료
IP,골판지 상자·산업용 포장재
PODD,튜브 없는 인슐린 펌프(옴니팟)
MAS,수전·페인트 등 주택 개보수 제품
MNST,에너지 드링크 (몬스터)
RCL,크루즈 여행 선사
KO,청량음료 브랜드·원액 (코카콜라)
TXT,비즈니스 제트기·헬리콥터(벨)·방산
META,페이스북·인스타그램 SNS 광고 및 AI·메타버스
GLW,특수유리·광섬유·디스플레이 유리
DXCM,연속혈당측정기(CGM)
ACGL,특수 손해보험·재보험·모기지보험
MTD,실험실·산업용 정밀 저울 및 분석기기
XYL,물 펌프·계량·수처리 기술
CB,글로벌 손해보험
GE,항공기 엔진 및 정비 (GE 에어로스페이스)
LVS,마카오·싱가포르 복합리조트 카지노
ROST,할인 의류·생활용품 소매 (Ross)
ZTS,동물 의약품·백신
VTRS,제네릭·특허만료 의약품
WY,산림 보유·목재 제품 리츠
CSGP,상업용 부동산 정보·온라인 매물 플랫폼
PH,모션·제어 기술 및 항공우주 부품
SWK,전동·수공구 (디월트·스탠리)
DG,저가 생활용품 소매 (달러 제너럴)
VRSK,보험 데이터 분석·위험평가
VRSN,.com·.net 도메인 레지스트리
TER,반도체·전자기기 자동 테스트 장비(ATE) 및 협동로봇
ILMN,유전체 분석(DNA 시퀀싱) 장비·시약
CIEN,광통신 네트워크 장비 (데이터센터 연결·해저케이블)
KEYS,전자 계측·시험 장비 및 설계 소프트웨어
MRK,항암 면역치료제(키트루다)·백신·동물의약품
