ticker,business_ko
DAL,미국 대형 항공사 (여객·화물)
CSCO,네트워크 장비·보안·협업 소프트웨어
CF,암모니아·질소비료 생산
FLEX,전자제품 위탁생산(EMS) 및 데이터센터 전력 장비
REGN,안과·면역질환 항체의약품 바이오제약
STT,기관투자자 수탁·자산관리 및 운용
ABNB,숙박 공유·체험 예약 플랫폼
LUV,미국 저비용 항공사
HAS,완구·보드게임 및 디지털 게임(Wizards of the Coast)
UAL,미국 대형 항공사 (국제선 중심)
DTE,미시간주 전력·가스 유틸리티
HUBB,전력망·건축용 전기 설비 부품
KLAC,반도체 공정 검사·계측 장비
FERG,배관·HVAC 자재 유통
RTX,항공엔진(프랫앤휘트니)·방산 미사일·항공전자
MA,글로벌 카드 결제 네트워크
EXPE,온라인 여행 예약 플랫폼
DRI,올리브가든 등 캐주얼 다이닝 레스토랑 체인
MSI,공공안전 무선통신·영상보안 솔루션
KKR,사모펀드·인프라·신용 대체자산 운용 및 보험
ALLE,도어록·출입통제 보안제품
VRTX,낭포성섬유증 등 희귀질환 치료제 바이오제약
NEE,플로리다 전력 유틸리티 및 풍력·태양광 발전
URI,건설·산업용 장비 렌탈
UNP,미국 서부 화물 철도
GRMN,GPS 기반 웨어러블·항공·해양·차량용 기기
NSC,미국 동부 화물 철도
PLD,물류창고 개발·임대 리츠
CTVA,종자 및 작물보호제(농약)
HII,미 해군 군함·항공모함·잠수함 건조
GNRC,가정·상업용 비상발전기 및 에너지 저장
TT,상업·주거용 냉난방공조(HVAC) 및 운송 냉장
LMT,전투기(F-35)·미사일·우주 방산
ODFL,미국 소량화물(LTL) 트럭 운송
PM,궐련 및 전자담배(아이코스)·니코틴 파우치
NDSN,정밀 접착제·코팅 도포 장비
GILD,HIV·간질환·항암 치료제 바이오제약
ABBV,면역질환(스카이리치·린버크)·신경과학 치료제 제약
CSX,미국 동부 화물 철도
CDW,기업·공공기관 대상 IT 하드웨어·소프트웨어 유통 및 솔루션
AMGN,항암·골다공증·심혈관 바이오의약품
LYV,공연 기획·프로모션 및 티켓 판매(티켓마스터)
CMI,디젤·천연가스 엔진 및 발전기·동력 부품
ES,뉴잉글랜드 지역 전력·가스·수도 유틸리티
CMG,멕시칸 패스트캐주얼 레스토랑 체인
IR,산업용 압축기·펌프·진공 장비
AZO,자동차 부품 소매·유통
LOW,주택개량 자재·용품 소매
BKNG,온라인 숙박·여행 예약 (Booking.com·Priceline)
ROL,해충방제 서비스 (Orkin)
SHW,페인트·코팅 제조 및 직영 매장 판매
BR,투자자 커뮤니케이션 및 증권사 백오피스 기술
ADM,곡물 조달·가공 및 식품·사료 원료
PPG,페인트·코팅 및 특수소재
PNW,애리조나주 전력 유틸리티
HLT,호텔 프랜차이즈·위탁운영 (힐튼)
PEP,음료(펩시) 및 스낵(프리토레이) 식품
PFG,퇴직연금·자산운용·보험
GEN,개인용 사이버보안(노턴·어베스트) 소프트웨어
AWK,미국 최대 상하수도 유틸리티
BMY,항암·면역·심혈관 전문의약품
HD,주택개량 자재·용품 소매
CRH,골재·시멘트·아스팔트 등 건설자재
NOC,스텔스 폭격기·우주·미사일 방산
LNT,아이오와·위스콘신 전력·가스 유틸리티
NCLH,크루즈 여행 선사
TRGP,천연가스·NGL 수집·처리·수송 미드스트림
CARR,냉난방공조(HVAC)·냉장 설비
AEE,미주리·일리노이 전력·가스 유틸리티
BIIB,다발성경화증·알츠하이머 등 신경질환 치료제
LII,주거·상업용 냉난방공조(HVAC) 설비
VMC,골재 등 건설자재 (미국 최대 골재 생산)
TSCO,농촌 생활용품·반려동물·가축용품 소매
SOLV,의료용품·치과·정수 필터 헬스케어 (3M에서 분사)
CPRT,사고·중고차량 온라인 경매
GM,자동차 제조 (쉐보레·GMC·캐딜락) 및 자동차 금융
MO,미국 궐련(말보로)·무연 니코틴 제품
PCAR,대형 상용트럭 제조 (켄워스·피터빌트·DAF)
DHI,미국 최대 주택건설업체
IT,IT·경영 리서치 및 자문
AOS,가정·상업용 온수기·보일러·정수기
CLX,표백제·세제·생활용품 브랜드
CRL,신약 비임상시험 및 연구용 동물모델 서비스
STZ,수입 맥주(코로나·모델로)·와인·증류주
F,자동차 제조 (포드·링컨) 및 상용차·자동차 금융
LEN,미국 주택건설업체
FCX,구리·금·몰리브덴 광산
PHM,미국 주택건설업체
NVR,미국 주택건설업체 및 모기지 금융
